id,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,Taxa
0304ed2dbb372a4d3b30ac39eaa75a79faf8036e_4, Eukaryota,Alveolata,Apicomplexa,Apicomplexa_X,Colpodellidae,Colpodellidae_X,,,Colpodellidae_X
4b25f1e8ed6e5a2a611a65246cedbf5c039b81fa_59, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Pterocystida,Pterocystida_X,Pterocystida_XX,Pterocystida_XX_sp.,Pterocystida_XX_sp.
bafa21e6bbc10544bdf78f84b82fd0b2c4587a7c_4, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Pterocystida,Pterocystida_X,Pterocystida_XX,Pterocystida_XX_sp.,Pterocystida_XX_sp.
94dcb03f923e487d55743936063acda8793f00b9_5, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Pterocystida,Pterocystida_X,Pterocystida_XX,Pterocystida_XX_sp.,Pterocystida_XX_sp.
078f8e6bb3920f2c4e9c674f1b985884f5730aa0_23, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Pterocystida,Pterocystida_X,Pterocystida_XX,Pterocystida_XX_sp.,Pterocystida_XX_sp.
f4a0ef647181387ef557d5b52b8b2744e4d7431e_3, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Pterocystida,Pterocystida_X,Pterocystida_XX,Pterocystida_XX_sp.,Pterocystida_XX_sp.
4e6780595ea641a596ed1c5e5ec9bbed9c944f88_5, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Pterocystida,Pterocystida_X,Pterocystida_XX,Pterocystida_XX_sp.,Pterocystida_XX_sp.
082b223d1b9f97a19bdedfbfd9d9ae222f35cfbb_4, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,,,,,
8ffb044b4c261a645b2e0260ccd096f12afb95fe_11, Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,,,,,
c0a2dcef919a0ed087a0b2850c1139bb8ca90ccc_6, Eukaryota,Rhizaria,Cercozoa,Filosa-Chlorarachnea,Chlorarachnida,Minorisa-lineage,Minorisa,Minorisa_minuta,Minorisa_minuta
737861188d1d81e2a8995848d5b0a5efcd112210_7, Eukaryota,Rhizaria,Cercozoa,Filosa-Chlorarachnea,Filosa-Chlorarachnea_X,NPK2-lineage,NPK2-lineage_X,NPK2-lineage_X_sp.,NPK2-lineage_X_sp.
02bc9eaef813ac322bab97f78d2b48ce3e818d74_4, Eukaryota,Rhizaria,Cercozoa,Filosa-Chlorarachnea,Filosa-Chlorarachnea_X,NPK2-lineage,NPK2-lineage_X,NPK2-lineage_X_sp.,NPK2-lineage_X_sp.
ec0a4d528c4557775efeabd77f49fe2a45294e3d_18, Eukaryota,Rhizaria,Cercozoa,Filosa-Chlorarachnea,Filosa-Chlorarachnea_X,NPK2-lineage,NPK2-lineage_X,NPK2-lineage_X_sp.,NPK2-lineage_X_sp.
67e8f94a590b14b79e93d830ea2ab6fc80f7ed6d_6, Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Filosa-Granofilosea_X,Massiteriidae,Massisteria,Massisteria_marina,Massisteria_marina
534a4e798ef700ed5ac3c18c6e4bab593a52e04e_41, Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Tectofilosida,Pseudodifflugiidae,,,
04d04a4de4acd5d37a88d723fecb149d868fa3dd_6, Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Tectofilosida,Pseudodifflugiidae,,,
