,X1_050_06,X1_090_07,X1_120_01,X1_200_02,X1_300_04,X1_400_05,X1_600_03,X3_040_07,X3_060_01,X3_080_02,X3_120_06,X3_150_07,X3_200_01,X3_250_02,X3_300_01,X3_400_02,X3_500_04,X3_550_05,X3_600_03,X3_800_03,X5_020_06,X5_050_07,X5_080_01,X5_120_02,X5_200_04,X5_300_05,X5_400_03,X5_500_05,X5_600_03,X6_040_06,X6_080_07,X6_200_01,X8_040_06,X8_070_07,X8_200_01,X9_040_06,X9_070_07,X9_380_01,X12_040_06,X12_120_07,X12_300_01,X12_1900_03
K00001,18.52910684,20.88688855,13.45964398,37.36700886,1.306260762,2.497895556,0,21.10667412,3.917185217,4.779792778,12.67512291,23.33269539,0,24.98957831,14.69910489,13.37786465,25.39429062,0,1.810005195,3.100469732,3.496137117,1.273043207,10.10116494,2.100698606,5.689245103,11.89232004,12.67040893,42.33233454,8.945440565,7.607246442,6.251631271,12.70598009,4.644501098,9.824251775,11.94999361,11.04783438,10.55037036,7.816994648,24.47872192,18.63835101,9.640243349,0
K00002,3.787082619,1.396369266,2.575531686,0,13.09894311,0,0,0,0.561160975,0,1.606909384,1.374737663,5.030555412,0,1.889045749,1.483776186,6.435075822,0,4.843463137,0,0,0,0,4.732518164,3.587534603,0,5.238530624,7.799507223,0,0,1.709267719,0,0.637569205,1.476748796,1.808513802,0,2.385138728,3.239867045,0,0,4.637846357,8.774603879
K00006,44.50139391,45.70604054,49.23664567,2.569997925,0,3.599694123,4.908570513,27.12010823,36.34775516,45.11681212,14.46747623,51.90605924,80.92238323,8.691647635,61.99705078,32.61283214,8.292443417,5.789879509,3.042326729,0,122.5952159,121.5624909,104.0359167,62.10222227,59.30432041,24.81294775,48.56879382,7.78855985,5.225353722,114.7010384,73.09643911,71.77038687,78.5176634,66.27738702,35.5281987,80.98525455,120.1330875,107.0498055,67.00910365,68.27127718,4.777924644,8.172202318
K00008,6.132685592,16.95928214,15.64026421,0,2.272717205,0,0,3.539430595,6.13390654,15.40138364,0,10.01793628,0,2.021856549,0,0,0,0,0,0,23.04297491,6.367366446,2.683488475,22.033123,0,0,4.771752769,2.706489234,0,4.319275794,10.37975921,14.62054985,29.42511118,14.3484106,4.392977782,4.440444797,0,0,9.46384301,1.86034987,1.12655795,0
K00012,239.0428806,182.6760338,120.8177798,145.9769022,96.25069925,85.41519356,58.96079594,171.2536736,178.0576797,74.14178196,125.3099999,186.765766,112.9397979,161.2391799,142.4960206,145.8439115,141.8400947,151.2115978,34.44523379,292.9789894,106.4992502,122.9115824,111.5437885,94.77169729,172.9553652,140.6001195,122.7479403,113.5516981,68.03787198,74.0917339,45.99180739,66.52864026,62.32192685,65.62009852,117.6671576,101.8298708,71.13461649,72.59895181,395.3252208,119.6742082,160.6743531,265.9188517
K00013,51.95336257,22.34787606,35.31509896,43.42326336,3.980566169,0,5.965114006,76.66624368,78.56302494,72.96985585,31.83394021,4.304030244,12.19243508,0,1.322515963,2.157401573,3.508512611,3.801570392,1.695447904,1.86843272,41.38964939,55.09506029,72.14205167,77.89536157,44.74700597,17.14285196,13.56956504,7.237126844,2.320933633,39.27055774,49.88602809,19.35516485,41.18969607,45.85651519,39.25330207,52.39407269,17.38675013,21.51251816,92.24009825,26.0794121,7.610965422,123.3017627
K00020,1.348644083,0.74590602,13.90322101,0,1.999180662,0,0,7.187665651,3.597100219,4.515908427,4.160131875,8.812211411,0,3.011167489,0,5.854248392,4.583278371,0,2.58725854,0,13.3698018,0,2.905855704,0.842664824,0.958186248,5.166998431,4.197440771,0,5.929720346,7.649025835,2.434796414,0,4.768032405,2.91326089,1.635624432,7.062750141,3.39755274,5.768856873,2.378516265,0,4.954846257,0
K00025,0,0.86850303,4.271758437,0,0,0,11.85669348,0,0,0,1.99890631,5.130292629,0,0,14.09920997,12.920148,0,0,0,0,0,0,0.916162155,0.981165098,18.96645132,0,14.66199467,15.24624385,8.155930234,0,0,0,0,1.836993744,3.374536566,0,0,0,0,0,3.461534461,0
K00026,446.9618308,382.8938799,251.7589828,333.767071,272.994266,186.5250284,111.6900207,456.1727157,345.0072326,229.0835627,300.9291568,189.9529844,239.7929098,286.5649576,233.2509625,312.018548,288.2760156,331.8900252,274.1680571,190.1592441,265.7669775,276.3504932,269.9057849,235.6698832,356.2369517,409.226331,440.3354443,372.3073908,396.5770377,235.0563403,190.3007653,208.9634261,193.0563969,204.1375401,148.1697104,249.572947,145.9500471,154.6121024,475.845143,315.7163385,305.1095633,252.9946093
K00027,0,3.051388466,7.639468987,0,0.75885425,0,0,7.573304901,17.58556233,31.04552694,0.977468568,21.49441375,9.521971628,0,4.789948106,0,0,0,0,0,14.47111862,20.21586311,9.175227923,0,4.972028458,1.416199602,0,1.98297231,0,4.620968213,5.069981395,0.976352567,7.942786655,3.942261328,6.423225013,6.506790395,22.52972838,24.31342915,1.981115651,10.11116318,0,0
