"","X1_050_06.y","X1_090_07.y","X1_120_01.y","X1_200_02.y","X1_300_04.y","X1_400_05.y","X1_600_03.y","X3_040_07.y","X3_060_01.y","X3_080_02.y","X3_120_06.y","X3_150_07.y","X3_200_01.y","X3_250_02.y","X3_300_01.y","X3_400_02.y","X3_500_04.y","X3_550_05.y","X3_600_03.y","X3_800_03.y","X5_020_06.y","X5_050_07.y","X5_080_01.y","X5_120_02.y","X5_200_04.y","X5_300_05.y","X5_400_03.y","X5_500_05.y","X5_600_03.y","X6_040_06.y","X6_080_07.y","X6_200_01.y","X8_040_06.y","X8_070_07.y","X8_200_01.y","X9_040_06.y","X9_070_07.y","X9_380_01.y","X12_040_06.y","X12_120_07.y","X12_300_01.y","X12_1900_03.y"
"K00001",15.729525,18.6658879,12.3624665,37.02944,1.639559,2.439795,0,16.764492,3.3712963,4.894346,13.0559466,23.075634,0,23.901248,16.893629,14.573215,31.60916,0,2.078523,2.193732,2.851665,1.31082,9.5469698,1.8493257,6.934401,13.491892,11.16241,47.936156,10.575143,6.1816085,6.6245229,12.377303,4.74676,8.4701791,12.41853,8.740543,7.401691,5.485798,21.8292247,17.294899,8.733753,0
"K00002",7.392607,2.700791,5.057053,0,24.79684,0,0,0,1.084839,0,3.065296,2.497451,9.378882,0,3.639509,2.88533,12.19643,0,8.587183,0,0,0,0,8.767252,6.855991,0,9.969033,14.95534,0,0,3.164779,0,1.178028,2.780276,3.238066,0,4.390917,5.966306,0,0,8.772891,15.17684
"K00006",59.370565688,48.047872607,47.273453806,1.826964191,0,3.448099491,5.25532,26.912354437,31.19990943,48.753408605,13.689729105,50.036671064,66.879942736,9.592601427,51.1044882,26.5051578,5.989397,9.936282,10.50396,0,134.554515269,130.721077443,114.884168379,67.433851344,61.466848983,24.562750013,59.20009974,10.325406317,6.2920167,134.661699864,70.959514449,53.23449743,81.747491138,65.945809742,33.152630616,91.413246762,97.528833264,81.746020412,68.578011666,70.602253478,3.635074697,5.386597
"K00008",4.562104,12.50028,11.70298,0,1.639559,0,0,2.58452,4.518941,11.11631,0,6.935488,0,1.47144,0,0,0,0,0,0,16.06463,4.517016,1.903233,15.55496,0,0,3.460534,1.977684,0,3.002749,7.323896,9.648224,20.71897,10.29454,2.997399,3.092366,0,0,6.982085,1.354571,0.8120852,0
"K00012",207.441286097,157.899087988,108.878790196,112.933833696,83.728782712,67.216458572,44.114136525,143.941000143,153.229665528,63.660417224,105.868876072,171.99565084,94.938606486,137.2235255,129.635935841,134.307998083,135.714663175,121.306170318,34.633070273,251.283068601,93.330908807,102.625800362,102.143794589,82.004622399,157.389997205,125.770663554,105.08153578,98.537498517,56.321995907,60.606068965,41.33920971,55.317048841,54.591585967,57.766026566,109.945905181,84.314789097,58.362071039,58.25687767,339.785250518,106.088653553,139.377105704,206.479549261
"K00013",44.790351752,20.806321326,32.454621,32.621166457,3.5025025,0,5.889321905,76.983478734,71.173655413,66.061564863,34.002668364,5.154881063,13.343844,0,1.295098,1.598747,3.0771315,4.006163,1.527849,1.322006,40.771698652,59.357739151,68.703288845,78.234875714,50.463454912,21.01928938,13.214305062,6.6695006,2.068375697,36.853752542,47.209612593,17.9107984,39.108382479,45.325812054,37.927441867,51.406062635,19.454899458,22.869880068,85.186911029,24.613554334,6.734353,81.27269
"K00020",1.67541299,0.918134782,12.845419125,0,2.408483824,0,0,5.848443335,4.425497696,5.443223427,4.707277005,10.18811209,0,2.236438248,0,5.953207373,5.528239532,0,2.919215918,0,10.386353263,0,2.828117738,0.993476835,1.16534827,5.121279874,5.083464514,0,4.357568275,7.428086506,2.868980433,0,5.606595261,2.868226699,1.138934786,6.344523234,3.980516738,6.760826425,2.9304461,0,5.964695273,0
"K00025",0,0.6423756,3.207483,0,0,0,8.124755,0,0,0,1.458144,3.56407,0,0,10.38777,9.607748,0,0,0,0,0,0,0.6520337,0.6950888,13.86077,0,10.66998,11.17941,5.893308,0,0,0,0,1.322562,2.310495,0,0,0,0,0,2.503929,0
"K00026",428.91472783,355.3284333,246.900267883,349.735844868,258.897795467,149.926246388,113.149411449,449.924166586,326.238162608,214.618448972,271.579918971,164.905393666,236.517314025,272.914108803,218.267358613,314.532307905,262.046881581,272.266339689,213.83090113,167.073634672,240.525942675,282.488225599,261.345430555,217.161120802,369.087378653,403.945500405,413.505453001,377.950796055,375.985568966,219.833252386,172.468344101,184.85941121,185.0921245,194.17239303,143.228027487,225.931893093,150.345508738,143.388142487,452.33919172,305.992974301,271.189841774,180.79388819
"K00027",0,2.692208802,5.716305539,0,1.128626722,0,0,6.118829539,13.476665131,23.25192741,1.464926368,18.143903025,14.04652374,0,7.365788073,0,0,0,0,0,10.08867755,14.34115312,6.50742531,0,7.537611932,2.108840934,0,1.448996539,0,3.554492745,3.577348746,1.328313565,5.59271755,2.82844928,9.343363106,4.531387846,33.35914605,35.5550642,1.46159626,7.833718755,0,0
"K00028",2.312299,0,1.581772,0,0,0,0,1.746616,4.580845,1.252066,5.752679,2.343498,0,0,0,0,0,0,0,0,2.326385,0,4.501712,4.113402,0,0,1.169313,0,0,0.5073138,2.96969,0,1.658115,3.913334,1.51923,1.567364,0.6867073,0.9330867,4.044417,0,1.646419,0
"K00029",89.6782025,78.227181891,93.389741513,0,6.782585417,22.851259255,1.75407,36.690340493,55.870017466,60.674699634,62.34431355,28.7047254,48.07205479,52.663350753,34.68392095,6.447411473,1.670075,1.528259,0,0,31.168481382,47.066944171,59.157082595,73.493610283,37.902826391,11.878319404,11.199213402,1.452592,3.763214,60.248997913,119.45251586,76.90424,74.017296139,78.585946809,81.497946044,52.934792815,42.455804943,43.579508158,39.494057551,56.753194011,3.621422525,0
"K00031",685.486138603,561.644891171,477.199398694,511.528747148,222.125965273,267.53354963,59.149995234,619.500166226,573.798588198,472.529789401,419.112183835,452.387976569,303.654002588,249.395119901,275.453301777,287.911192857,275.206894163,133.199949283,477.95716056,192.656511533,560.111082064,585.410879075,482.262179877,487.305329999,308.678811018,261.365503506,232.950706378,261.269459396,253.009692904,589.4803392,564.805476249,393.353082446,541.504399843,492.097915786,485.586571992,557.146485848,292.017885865,322.444696156,604.071456884,488.539420043,194.833929756,43.695708
"K00033",41.452199431,66.897705331,44.443396955,20.1774147,71.508956292,29.307321693,77.38062,33.631490472,40.035191517,25.004524116,71.372262656,126.624838399,87.692481768,74.467551722,103.67202596,110.844207662,169.577090402,88.127010044,161.848158903,34.391431,29.002976174,40.993008094,44.475207336,55.466299154,138.19266081,115.825101819,85.155046477,75.859889826,60.985257616,41.059886157,49.147763514,81.66863851,62.490987612,38.986148247,85.108815158,41.745606165,42.141751739,46.452378998,50.070259993,47.873717773,94.472712554,0
"K00034",1.364023,0,0.9330858,0,0,0,0,0,2.636965,2.954369,0,2.764855,0,0,1.007299,0,2.250384,0,0,0,15.526576,14.040419,7.279411,2.426492,0,3.477998,2.759106,0,0,16.75878,19.337689,12.910173,23.975765,5.687539,38.84798,19.764702,3.240704,2.201708,0,3.556985,0,0
"K00036",7.8882268,32.010960462,15.02842996,1.632481,30.547486255,46.93831983,10.058135,22.036565645,29.078533294,43.889236491,39.919294248,57.62531959,45.91156209,59.44068119,41.138633482,50.320745125,25.092603415,110.308091891,235.149684,34.632773,16.439732685,15.599303601,25.353993816,17.2146252,36.036754287,38.038955404,27.978881746,20.444755464,32.808601656,22.110817971,11.05108322,52.593861561,20.861962958,18.213749142,71.709717922,30.59821877,50.902020796,64.893844861,34.61934554,31.86250669,36.131802,26.82873
"K00045",44.578341,15.6634867,34.919864246,63.84984,5.921684,0,0,17.774949,13.565694,2.49961826,2.4392242,2.814853,0,5.315008,0,5.635067,1.3171132,0.7909907,0,2.778883,22.957616579,29.459467245,35.066553284,22.1131667,0,2.735965022,2.8090014,0,2.114982,10.196524201,7.10228369,11.213865725,7.914949149,9.125945687,1.7026881,5.154883622,7.245091,8.104792682,36.799876,11.693675,1.4003598,0
"K00052",2.64781,0.483671,4.22633,0,0,0,0,0,5.051238,7.646602,0,0,0,3.41605,0,0,0,0,0,0,0,0,0,1.046722,0.6139024,0,0,0.7652217,0,0,1.889214,0,1.265803,0,0,0.5982617,1.572694,0.7123171,0,0.5241218,0,0
"K00053",57.304879855,48.350923345,29.688066009,66.968981389,25.231046701,16.184379155,4.96956332,61.041914948,43.630728332,22.964142493,18.521352636,67.240893424,61.010058808,93.623127037,52.82592807,66.077717941,23.159041407,26.762096742,12.217230416,25.838189163,44.986454712,48.057515579,20.175080832,52.414143054,81.208191984,80.764221575,31.969054443,28.290842338,74.972156777,36.951580028,27.731890528,28.68694727,27.087909851,34.420410761,43.87681221,82.789568119,52.675909635,76.916288864,57.43055877,47.824812958,51.858465009,0
"K00057",0,0,0,0,0,0,0,0,0.544406463,0,11.5369659,11.27969553,10.58989163,0,0,0,1.020091818,0,0,0,4.147156828,1.632523489,4.127158282,13.19904937,0,10.79525716,0,0,0,6.51145656,2.646975995,6.276646517,2.955858046,6.976150849,0,12.57335639,0,0,0,0,0.880502635,0
"K00058",449.693869714,463.664089399,352.27590652,162.371751492,242.050241306,217.167684556,184.509849225,497.882695845,483.417373496,377.322767322,368.737437888,491.420131119,748.716745578,611.021932594,554.150921981,371.551845152,350.3740429,215.294839628,319.771232475,303.756254303,458.233158137,468.612976371,480.833866893,519.336827745,656.753724018,478.719635101,403.312443481,440.533077308,357.833280454,562.975739084,626.141060396,490.63971812,477.266259739,466.773615521,560.260332098,506.680420134,594.096499803,704.831103871,636.719675359,398.412954087,317.79834843,28.42624054
"K00060",0,0,0,0,0,0,130.6181,0.8134161,0,0,0,0,0,0,0,0,1.776619,0,0,0,0,0,0,0,0.7490197,0,0,0,0,0,0,0,0,0,0,0.7299365,5.1169,6.083666,0,0,0,0
"K00064",6.289912203,17.950453422,6.571792062,23.05689,18.86319679,17.309175801,1.366781,17.036943207,14.245492162,5.498920674,9.344365473,1.37548,8.633322522,14.562513,28.754004243,13.870867105,40.37262976,0,6.061923032,0,12.16822,1.041306,6.089915244,4.402759269,9.2312167,17.139279,13.857200874,36.98393036,5.684043733,9.520605955,2.593837569,4.309558,2.305453046,1.334922,2.731682248,14.492024,22.070240358,19.993227706,30.189794,8.832535043,15.97090744,0
"K00065",0,0,0,0,0,8.499417,0,0,0,0,0,2.981706,2.099521,0,0,0,0,0,0,0,0,3.398423,0,0,0,0,0,0,0,0.6454712,3.14869,12.4439,2.109671,0,0.4832408,2.991308,0.8737191,0,0,0,0,0
"K00074",9.455355632,31.72634327,3.974849291,0,0,4.476457391,0,4.887819647,1.023221785,0,3.613989317,0,0,0,0,0,0,0,0,0,5.287953678,7.77544954,1.292844763,8.214415776,0,0,4.701402637,1.580012421,1.168518309,11.687864956,5.970047063,3.083264956,11.098431617,15.540404527,6.48130747,14.501217879,0,0,3.406952191,11.676899548,0.648791416,0
"K00077",10.862304711,35.896232021,41.739137847,0,0,18.311111411,26.216767812,6.021329734,17.562433447,1.757707565,6.893452034,0.9624494,1.2797877,35.408956665,21.754561522,27.103692572,47.62133281,22.60978381,13.390152,55.81725818,10.222633582,3.0714658,0,7.05647745,21.921725838,10.913257215,18.965582335,11.699917253,19.62724316,5.988872622,5.846547775,0,7.155149474,4.723594302,4.3321201,11.575078627,9.356761801,18.17109012,16.818093811,6.757205181,17.858766176,0
