def,desc,class,moduleColor
K00001,alcohol dehydrogenase [EC:1.1.1.1],"E1.1.1.1, adh",turquoise
K00002,alcohol dehydrogenase (NADP+) [EC:1.1.1.2],"AKR1A1, adh",blue
K00006,glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],GPD1,turquoise
K00008,L-iditol 2-dehydrogenase [EC:1.1.1.14],"SORD, gutB",turquoise
K00012,UDPglucose 6-dehydrogenase [EC:1.1.1.22],"UGDH, ugd",blue
K00013,histidinol dehydrogenase [EC:1.1.1.23],hisD,turquoise
K00020,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],"E1.1.1.31, mmsB",turquoise
K00025,malate dehydrogenase [EC:1.1.1.37],MDH1,blue
K00026,malate dehydrogenase [EC:1.1.1.37],MDH2,blue
K00027,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],"ME2, sfcA, maeA",turquoise
K00028,malate dehydrogenase (decarboxylating) [EC:1.1.1.39],E1.1.1.39,turquoise
K00029,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],"E1.1.1.40, maeB",turquoise
K00031,isocitrate dehydrogenase [EC:1.1.1.42],"IDH1, IDH2, icd",turquoise
K00033,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],"PGD, gnd, gntZ",blue
K00034,glucose 1-dehydrogenase [EC:1.1.1.47],gdh,turquoise
K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49],"G6PD, zwf",blue
K00045,mannitol 2-dehydrogenase [EC:1.1.1.67],"E1.1.1.67, mtlK",turquoise
K00052,3-isopropylmalate dehydrogenase [EC:1.1.1.85],leuB,turquoise
K00053,ketol-acid reductoisomerase [EC:1.1.1.86],ilvC,yellow
K00057,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],gpsA,brown
K00058,D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95],"serA, PHGDH",turquoise
K00060,threonine 3-dehydrogenase [EC:1.1.1.103],tdh,blue
K00064,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],E1.1.1.122,yellow
K00065,2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125],kduD,brown
K00074,3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],"paaH, hbd, fadB, mmgB",turquoise
K00077,2-dehydropantoate 2-reductase [EC:1.1.1.169],"panE, apbA",blue
K00078,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],DHDH,blue
K00088,IMP dehydrogenase [EC:1.1.1.205],guaB,turquoise
K00100,NA,NA,blue
K00101,L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],"E1.1.2.3, lldD",turquoise
K00106,xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2],XDH,blue
K00107,"D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]",ALO,blue
K00108,choline dehydrogenase [EC:1.1.99.1],"betA, CHDH",blue
K00111,glycerol-3-phosphate dehydrogenase [EC:1.1.5.3],"glpA, glpD",turquoise
K00116,malate dehydrogenase (quinone) [EC:1.1.5.4],mqo,turquoise
K00121,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],"frmA, ADH5, adhC",turquoise
K00122,formate dehydrogenase [EC:1.2.1.2],FDH,blue
K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],E1.2.1.3,blue
K00130,betaine-aldehyde dehydrogenase [EC:1.2.1.8],"betB, gbsA",blue
K00131,glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],gapN,turquoise
