,St.1_50m,St.1_90m,St.3_40m,St.3_60m,St.3_80m,St.5_20m,St.5_50m,St. 5_80m,St.6_40m,St.6_80m,St.8_40m,St.8_70m,St.9_40m,St.9_70m,St.12_40m
K00001_alcohol dehydrogenase [EC:1.1.1.1],18.52910684,20.88688855,21.10667412,3.917185217,4.779792778,3.496137117,1.273043207,10.10116494,7.607246442,6.251631271,4.644501098,9.824251775,11.04783438,10.55037036,24.47872192
K00002_alcohol dehydrogenase (NADP+) [EC:1.1.1.2],3.787082619,1.396369266,0,0.561160975,0,0,0,0,0,1.709267719,0.637569205,1.476748796,0,2.385138728,0
K00006_glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],44.50139391,45.70604054,27.12010823,36.34775516,45.11681212,122.5952159,121.5624909,104.0359167,114.7010384,73.09643911,78.5176634,66.27738702,80.98525455,120.1330875,67.00910365
K00008_L-iditol 2-dehydrogenase [EC:1.1.1.14],6.132685592,16.95928214,3.539430595,6.13390654,15.40138364,23.04297491,6.367366446,2.683488475,4.319275794,10.37975921,29.42511118,14.3484106,4.440444797,0,9.46384301
K00012_UDPglucose 6-dehydrogenase [EC:1.1.1.22],239.0428806,182.6760338,171.2536736,178.0576797,74.14178196,106.4992502,122.9115824,111.5437885,74.0917339,45.99180739,62.32192685,65.62009852,101.8298708,71.13461649,395.3252208
K00013_histidinol dehydrogenase [EC:1.1.1.23],51.95336257,22.34787606,76.66624368,78.56302494,72.96985585,41.38964939,55.09506029,72.14205167,39.27055774,49.88602809,41.18969607,45.85651519,52.39407269,17.38675013,92.24009825
K00020_3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],1.348644083,0.74590602,7.187665651,3.597100219,4.515908427,13.3698018,0,2.905855704,7.649025835,2.434796414,4.768032405,2.91326089,7.062750141,3.39755274,2.378516265
K00025_malate dehydrogenase [EC:1.1.1.37],0,0.86850303,0,0,0,0,0,0.916162155,0,0,0,1.836993744,0,0,0
K00026_malate dehydrogenase [EC:1.1.1.37],446.9618308,382.8938799,456.1727157,345.0072326,229.0835627,265.7669775,276.3504932,269.9057849,235.0563403,190.3007653,193.0563969,204.1375401,249.572947,145.9500471,475.845143
K00027_malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],0,3.051388466,7.573304901,17.58556233,31.04552694,14.47111862,20.21586311,9.175227923,4.620968213,5.069981395,7.942786655,3.942261328,6.506790395,22.52972838,1.981115651
K00028_malate dehydrogenase (decarboxylating) [EC:1.1.1.39],0.639181315,0,0.491864533,1.278617138,0.356714363,0.686189193,0,1.305208479,0.150059347,0.865467247,0.484238301,1.12160111,0.462806922,0.201281073,1.127282709
K00029_malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],98.97392735,90.90104947,43.41712788,58.394578,65.99193451,30.06638637,52.15398354,63.05994737,70.52128383,134.0238455,89.68717356,96.24843875,55.35780263,35.76246893,41.33552439
K00031_isocitrate dehydrogenase [EC:1.1.1.42],659.6623183,570.1232705,606.2579081,570.5921601,453.5206808,576.3353393,600.4095995,485.2976862,602.4752291,568.5920975,558.6581737,483.5600011,533.4576961,326.7936275,614.4665813
K00033_6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],40.92880651,76.19577905,35.19941699,39.04526922,21.95122916,17.64634319,32.37503646,37.11368212,30.27589319,34.86345854,41.70826514,29.09660332,36.25542393,43.33056582,46.65298275
K00034_glucose 1-dehydrogenase [EC:1.1.1.47],0.561309504,0,0,1.247602787,1.253022623,7.632811551,6.216418777,3.274840605,7.379541905,9.880349642,11.05632534,2.626548879,9.347726709,1.414071116,0
K00036_glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49],6.164232831,37.5576052,19.90326286,32.1280024,42.98829164,14.74834923,12.50594779,22.87511466,20.72421445,10.88114403,20.43013601,18.64059585,26.45619391,56.81901024,39.52678015
K00045_mannitol 2-dehydrogenase [EC:1.1.1.67],41.55814459,10.28560148,19.42336396,11.25488124,2.63314026,17.47087854,23.86684364,23.26800364,10.60143896,7.038294843,6.74579997,7.609334184,5.252639801,4.076973842,30.14822083
K00052_3-isopropylmalate dehydrogenase [EC:1.1.1.85],2.556725261,0.471356574,0,4.92504379,7.609906408,0,0,0,0,1.923260548,1.291302136,0,0.617075897,1.610248587,0
K00053_ketol-acid reductoisomerase [EC:1.1.1.86],41.59403591,38.0840276,45.12589217,34.5682307,17.62919261,36.95918753,41.77447604,15.78014354,32.53003985,21.2774983,20.13896272,29.03554051,57.61597605,42.9562814,42.04352386
K00057_glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],0,0,0,0.342508269,0,2.757183513,1.066632976,2.697156498,4.341275501,1.738771208,1.945722659,4.506716402,8.368240619,0,0
K00058_D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95],470.2987017,487.7621193,491.5315059,489.8765767,362.3205578,414.4897403,460.7790938,485.5484535,537.068457,586.5782975,464.8904134,455.2084399,519.1180958,706.3837512,653.6975117
K00060_threonine 3-dehydrogenase [EC:1.1.1.103],0,0,0.613750121,0,0,0,0,0,0,0,0,0,0.577491942,4.018546563,0
K00064_D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],7.467608033,21.83657481,20.99467176,17.6512727,7.077311214,15.67746697,1.318461328,7.764604958,12.2432301,3.432551884,2.893339478,1.671220962,19.63749024,28.61068829,36.29229526
K00065_2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125],0,0,0,0,0,0,2.82267507,0,0.547071303,2.629361339,1.765387388,0,2.530882529,0.733810332,0
K00074_3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],10.20734894,34.45991859,5.152740105,0.943800564,0,5.435186371,8.534887109,1.238694095,12.34604332,5.749536796,13.48635254,16.09629616,17.56043108,0,4.176473409
K00077_2-dehydropantoate 2-reductase [EC:1.1.1.169],10.95024218,39.73677835,7.159426958,19.46665462,1.886534061,9.609490612,3.984155557,0,6.715785065,6.344972873,9.497087239,4.364234348,12.37689923,12.69119781,17.54305615
K00078_dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],0,0,6.111416827,0,0,0,0,0,0,0,0,0,0,0,0
K00088_IMP dehydrogenase [EC:1.1.1.205],142.1297188,177.9703976,133.0525491,182.2986913,155.4481715,82.9701706,64.73182767,126.824008,146.9596918,124.6472139,131.3316397,163.7694572,135.5067849,210.2701974,91.85545296
K00101_L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],56.8863249,39.33597504,43.22201419,58.18496043,117.0045335,119.0764306,124.4021081,85.00667348,110.0693352,108.7520287,82.27316143,75.36795702,117.7567497,54.81011143,62.63760795
K00106_xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2],32.48617688,3.846950264,34.36968813,18.37937881,26.44611634,7.180409252,25.02429705,11.37288542,24.94401767,8.084315653,23.93683227,8.553325313,33.10814887,43.34274348,19.78985635
"K00107_D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00108_choline dehydrogenase [EC:1.1.99.1],0,1.989765733,0,1.876626704,0,0,0,0.492596954,0,0.240266567,0.426430008,0,0,4.531625862,0
K00111_glycerol-3-phosphate dehydrogenase [EC:1.1.5.3],14.47093759,26.82827871,16.70985074,62.85165539,60.28026329,79.01980797,95.72906744,70.02367868,58.32623545,44.63587412,65.48321023,29.91438153,72.29834434,21.2165663,25.52261137
K00116_malate dehydrogenase (quinone) [EC:1.1.5.4],60.611915,41.84232156,53.01241897,92.34875315,26.72464305,72.79824043,67.00849026,100.0321816,52.84497604,39.87552508,51.01210791,46.39057379,44.18867496,23.54168446,55.27733288
K00121_S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],54.02223712,36.64932163,29.75083719,16.61389149,29.9473133,20.20187935,34.56163512,50.2966934,35.33061486,28.49788152,36.84930525,29.81270967,30.64652005,60.20348148,29.41904307
K00122_formate dehydrogenase [EC:1.2.1.2],26.74236327,19.93085339,17.6317618,25.60066634,20.7276395,5.110021311,38.34484545,16.51036469,14.38048835,14.21013579,7.429355562,13.18490496,14.19944751,15.01821961,23.56305567
K00128_aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],264.3245056,248.6078005,221.5738916,283.8833082,122.2599703,80.03164984,157.3889828,153.2238367,142.8278226,133.5244031,143.198605,144.6557485,177.4132589,200.1865499,339.5848873
K00130_betaine-aldehyde dehydrogenase [EC:1.2.1.8],6.842454529,8.367862247,11.66917,13.42054355,16.62228242,7.918594375,9.013428263,13.13324565,11.9062694,21.16540606,20.36198136,7.288878201,20.01511752,11.16609802,11.16885008
K00131_glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],0,6.084499778,1.11751622,1.291119172,0,7.706848352,0.919834294,4.795802781,1.588866154,3.982105614,11.90126817,0,0,0.457310599,8.951964903
K00133_aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],74.37285132,92.66766109,70.55619045,55.75078894,95.070579,45.49681733,32.37279897,53.72960241,90.83985744,70.36116519,66.57030685,73.29995687,36.87359936,21.19224026,82.35903798
K00134_glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12],1245.028965,1503.219551,1266.975046,1144.718913,1325.872262,2478.837485,2493.337604,2148.219484,1804.707961,1901.553472,1764.81871,1198.301968,1933.741143,1745.852133,1322.857171
K00135_succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],10.64125647,21.36967187,24.53736417,11.14571108,9.085133057,8.946371871,14.09145063,8.413204293,5.148393711,20.52733615,6.313384068,8.613336907,22.40207426,14.87892021,39.22076389
K00147_glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],0,0,0,0,0.597328296,1.532057631,1.111285653,1.248919165,3.015343479,4.106206629,0.81087074,0,6.19986632,2.022305125,0
K00148_glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],0,0.810976981,3.385045092,1.303634059,0,0,0,0.855479363,0,0,0,0,0,2.770460009,0
K00150_glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],220.776617,256.7647678,294.9661471,315.4036518,211.4186428,287.6293611,319.64187,285.7708027,203.4394784,197.4851118,238.7833776,189.1719159,202.2059577,121.1436115,165.3172652
K00154_coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],4.993878776,2.01154054,0.960725774,8.276592192,0,3.418907556,8.641634425,0,0.586201575,1.126972481,0,7.239075946,0.903969505,10.66674572,11.72772275
K00158_pyruvate oxidase [EC:1.2.3.3],0,0,0,0,0,0,0,0,0,0.827584842,0,0,0,2.853031855,0
K00163_pyruvate dehydrogenase E1 component [EC:1.2.4.1],0.665911568,1.584566823,4.046238881,2.402042743,0,4.412997532,5.066123414,15.13813958,10.9843125,3.739488697,3.078670258,6.672458513,6.817586802,17.58372125,5.473906407
K00164_2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],9.588566496,2.326421618,20.47097421,9.088823452,26.35072732,28.37256543,32.95467037,28.83388201,19.18307947,12.45688506,17.67192607,15.57262695,11.38420085,6.785817385,22.08351807
K00167_2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4],0,0,1.317825731,0.609018477,0.764580219,0.735387663,0.948297091,0.399654133,0.321636638,2.164212435,1.556871821,0.601008897,1.239973264,1.29427528,0
