,Station,Depth,PO4,NH4,O2,NO3,Temperature,Co,Fe
X1_050_06,St. 1,50,0.236,0.019,220.971,0.05,25.69,6,0.265057462
X1_090_07,St. 1,90,0.222,0.0115,221.901,0.815,23.275,14,0.213046756
X1_120_01,St. 1,120,0.253,0.016,214.313,1.55,21.905,16,0.083880911
X1_200_02,St. 1,200,0.845,0.065,187.388,10.25,15.042,52,0.245984573
X1_300_04,St. 1,300,1.562,0.027,173.166,21.78,9.62,60,0.321772998
X1_400_05,St. 1,400,2.66,0.001,39.829,34.29,8.157,68,0.711407457
X1_600_03,St. 1,600,3.043,0.049,22.701,40.44,6.3,69,0.791864131
X3_040_07,St. 3,40,0.242,0.039,213.748,0.31,27.277,6,0.12565284
X3_060_01,St. 3,60,0.3395,0.0435,208.9635,1.6,24.872,27,0.121631425
X3_080_02,St. 3,80,0.437,0.048,204.179,2.89,20.257,27,0.11761001
X3_120_06,St. 3,120,1.843,0.039,112.0885,23.68,12.655,58,0.36581801
X3_150_07,St. 3,150,2.467,0.03,15.306,33.32,11.74,99,0.190505175
X3_200_01,St. 3,200,2.501,0.012,14.6,35.17,10.649,85,0.401488403
X3_250_02,St. 3,250,2.496,0.02,27.592,35.21,10.01,56,0.409428719
X3_300_01,St. 3,300,2.553,0.038,25.419,35.73,9.591,66,0.538958604
X3_400_02,St. 3,400,2.639,0.256,29.381,36.85,8.971,71,0.743874204
X3_500_04,St. 3,500,2.819,0.037,26.672,38.57,8.172,58,0.444932979
X3_550_05,St. 3,550,2.8865,0.0415,27.375,39.345,7.622,48,0.499354815
X3_600_03,St. 3,600,2.954,0.046,28.078,40.12,7.122,48,0.553776652
X3_800_03,St. 5,800,3.046,0.006,44.127,42.43,5.604,41,0.662620325
X5_020_06,St. 5,20,0.661,0.176,204.6185,6.33,25.83,26,0.1434073
X5_050_07,St. 5,50,0.6875,0.1805,197.915,6.865,25.74,14,0.113034716
X5_080_01,St. 5,80,0.755,0.112,182.343,8.39,25.369,25,0.097435226
X5_120_02,St. 5,120,0.981,0.034,136.584,12.18,20.717,31,0.403730141
X5_200_04,St. 5,200,1.55,0.043,126.357,21.42,13.266,27,0.482325381
X5_300_05,St. 5,300,2.104,0.026,66.603,30.3,11.819,82,0.982787828
X5_400_03,St. 5,400,2.462,0.052,50.717,35.19,9.414,67,0.427312755
X5_500_05,St. 5,500,2.65,0.086,36.43,37.97,8.204,70,0.49553449
X5_600_03,St. 5,600,2.782,0.069,58.691,39.11,7.09,55,0.663438487
X6_040_06,St. 6,40,0.582,0.1,213.083,5.2,27.219,6,0.232071666
X6_080_07,St. 6,80,0.627,0.578,209.767,5.43,27.075,12,0.198582211
X6_200_01,St. 6,200,2.089,0.029,25.647,28.96,13.846,116,0.139233839
X8_040_06,St. 8,40,0.39,0.11,209.396,1.65,28.206,1,0.09811893
X8_070_07,St. 8,70,0.439,0.668,202.38,1.11,28.018,0,0.121921079
X8_200_01,St. 8,200,0.779,0.001,160.363,6.91,23.369,15,0.021040877
X9_040_06,St. 9,40,0.358,0.063,208.861,0.73,28.182,1,0.03479512
X9_070_07,St. 9,70,0.3385,0.2885,206.2295,0.395,27.729,5,0.075732605
X9_380_01,St. 9,380,1.924,0.021,116.215,25.24,10.96,28,0.198675481
X12_040_06,St. 12,40,0.224,0.039,208.168,0.05,28.277,6,0.239952546
X12_120_07,St. 12,120,0.388,0.0335,186.48,2.3,26.826,20,0.131661307
X12_300_01,St. 12,300,0.936,0.037,160.829,10.34,17.542,19,0.173485713
