Description,GeneRatioPercent
Biosynthesis of secondary metabolites,26.27737226
Microbial metabolism in diverse environments,20.68126521
Biosynthesis of antibiotics,18.73479319
Carbon metabolism,11.92214112
Biosynthesis of amino acids,9.489051095
Purine metabolism,6.326034063
"Glycine, serine and threonine metabolism",4.622871046
Pyruvate metabolism,4.379562044
Cysteine and methionine metabolism,4.136253041
Oxidative phosphorylation,4.136253041
Lysosome,3.892944039
Carbon fixation in photosynthetic organisms,3.649635036
Citrate cycle (TCA cycle),3.649635036
Carbon fixation pathways in prokaryotes,3.649635036
"Alanine, aspartate and glutamate metabolism",3.406326034
Glycolysis / Gluconeogenesis,3.406326034
Phagosome,2.919708029
Spliceosome,2.919708029
Protein processing in endoplasmic reticulum,2.919708029
Vibrio cholerae infection,2.676399027
Glyoxylate and dicarboxylate metabolism,2.676399027
mTOR signaling pathway,2.676399027
Synaptic vesicle cycle,2.189781022
Fatty acid metabolism,2.189781022
Epithelial cell signaling in Helicobacter pylori infection,2.189781022
Collecting duct acid secretion,1.946472019
DNA replication,1.946472019
Nitrogen metabolism,1.946472019
Aminoacyl-tRNA biosynthesis,1.946472019
2-Oxocarboxylic acid metabolism,1.946472019
One carbon pool by folate,1.703163017
Fatty acid biosynthesis,1.703163017
Glucagon signaling pathway,1.703163017
Fatty acid degradation,1.703163017
Monobactam biosynthesis,1.459854015
Drug metabolism - other enzymes,1.459854015
Sphingolipid metabolism,1.459854015
Nucleotide excision repair,1.459854015
Glutathione metabolism,1.459854015
Selenocompound metabolism,1.216545012
Caprolactam degradation,0.97323601
Vitamin B6 metabolism,0.97323601
