X,orf_length_aa,PFams,PFams_desc,st1_200m,st1_400m,st1_50m,st1_90m,st1_120m,st1_300m,st3_40m,st3_60m,st3_120m,st3_150m,st3_200m,st3_250m,st3_300m,st3_400m,st3_500m,st3_550m,st3_600m,st3_800m,st5_20m,st5_80m,st5_120m,st5_200m,st5_50m,st5_300m,st5_400m,st5_500m,st5_600m,st6_40m,st6_80m,st6_200m,st8_40m,st8_70m,st8_200m,st9_40m,st9_70m,st9_380m,st12_40m,st12_120m,st12_300m,st12_1900m
contig_1152868_1_662_+,220.6666667,PF00006,"ATP synthase alpha/beta family, nucleotide-binding domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
contig_1652620_1_617_-,205.6666667,PF00026,Eukaryotic aspartyl protease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
contig_1656580_448_787_+,113.3333333,PF00051,Kringle domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1764449_66_674_+,203,PF00051,Kringle domain,0,0,2,2,2,0,0,0,0,1,2,1,1,1,0,1,1,2,1,1,0,0,2,0,1,2,3,2,2,5,1,2,3,0,4,2,1,2,0,1
contig_1800586_329_812_+,161.3333333,PF00051,Kringle domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
contig_1619618_1_663_+,221,PF00070,Pyridine nucleotide-disulphide oxidoreductase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
contig_1213774_1_741_-,247,PF00070,Pyridine nucleotide-disulphide oxidoreductase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1632496_948_1850_-,301,PF00070,Pyridine nucleotide-disulphide oxidoreductase,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,0,0,0
contig_1734128_1_901_-,300.3333333,PF00070,Pyridine nucleotide-disulphide oxidoreductase,1,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,1,2,0,1,0,0,2,2,0,1,2,0,0
contig_1862035_1_758_-,252.6666667,PF00070,Pyridine nucleotide-disulphide oxidoreductase,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,3,3,0,0,4,0,1,0,0,0
contig_1206552_2085_3183_+,366.3333333,PF00084,Sushi domain (SCR repeat),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
