orf_id,st1_200m.x,st1_400m.x,st1_50m.x,st1_90m.x,st1_120m.x,st1_300m.x,st3_40m.x,st3_60m.x,st3_120m.x,st3_150m.x,st3_200m.x,st3_250m.x,st3_300m.x,st3_400m.x,st3_500m.x,st3_550m.x,st3_600m.x,st3_800m.x,st5_20m.x,st5_80m.x,st5_120m.x,st5_200m.x,st5_50m.x,st5_300m.x,st5_400m.x,st5_500m.x,st5_600m.x,st6_40m.x,st6_80m.x,st6_200m.x,st8_40m.x,st8_70m.x,st8_200m.x,st9_40m.x,st9_70m.x,st9_380m.x,st12_40m.x,st12_120m.x,st12_300m.x,st12_1900m.x,contig_length,orf_length,kegg_hit,kegg_desc,kegg_pathway,KO,KO_desc,KO_pathway,EC,GO_terms,uniprot,KOG_id,KOG_desc,KOG_class,KOG_group,best_hit,best_hit_percent_identity,best_hit_annotation,best_hit_GOS_core_cluster,best_hit_species,best_hit_taxon_id,domain,group,group_reads,group_orfs,best_LPI,hits_top,hits_unique,best_tax_string,PFams,PFams_desc,TIGRFams,TIGRFams_desc,transporter_family,transporter_substrate,transporter_evidence,transmembrane_domains
contig_103400_1_1327_-,0,0,0,0,0,0,0,1.825320246,0.755859392,3.54339058,0,0,0,2.13167886,0,0,0,0,0.44721605,0.431990943,1.178811249,0,0,0,0,0,0,0.271185488,0.836937648,0.424543692,0.384909772,1.316541683,0.456278994,0,0.576447891,0,0.602029696,0,0,0,1328,1327,,,,,,,,,,,,,,CAMPEP_0190304324-CAMNT_0034037373,36,,,Oxyrrhis marina,2969,Eukaryota,Dinophyta,43183874,207602,0.9483,5,3,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_103685_145_645_-,0,0,4.035523114,3.859692798,2.380967157,0,2.249081301,0,2.002046733,0,0,0,0,5.646183327,0,0,0,0,1.184542313,1.144215532,1.561160207,0,1.43465572,2.204956601,0,4.131082837,2.385646271,0.718289706,0.738932973,2.24897996,1.019511512,0.871781843,1.208547356,0,0.763419512,3.716107955,1.594597617,2.914162718,7.50045427,0,813,501,nve:NEMVE_v1g106028,hypothetical protein ,,,,,,5509,A7S690,KOG0028,"Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein",Cytoskeleton ,CELLULAR PROCESSES AND SIGNALING,CAMPEP_0200862146-CAMNT_0047039689,76,PF00036.27: EF hand PF13499.1:  EF-hand domain pair,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,0.8181,64,35,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",PF00036||PF13499||PF00036||PF13499||PF00036,EF hand||EF-hand domain pair||EF hand||EF-hand domain pair||EF hand,,,,,NA,0
contig_105627_1_696_-,0,0,0,0,0,0,4.856852292,3.480172365,2.882256934,0,2.718247978,0,3.66287307,0,0,0,0,0,0,2.470913714,2.247532368,1.469382493,0,3.174377175,0,0,0,0.517044745,1.063808676,0.809438908,0.733872511,1.255065239,0.869945726,0,1.09906085,0,2.295670707,2.097694715,0,0,696,696,,,,,,,,,,,,,,CAMPEP_0200768858-CAMNT_0046921869,71,TIGR02169: SMC_prok_A: chromosome segregation protein SMC,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,1,12,1,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_11029_682_1200_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28835158,0,0,0,0,0,0,1201,519,,,,,,,,,,,,,,CAMPEP_0178398052-CAMNT_0020018807,58,,,Amphidinium massartii,160604,Eukaryota,Dinophyta,43183874,207602,0.8738,48,20,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karenia;Karenia brevis CCMP2229,,,,,,,NA,0
contig_112078_1_978_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576042413,0,0,0,0,0,0,0,0,0,0,978,978,tbr:Tb10.389.1180,P-type H+-ATPase (EC:3.6.3.6); K01535 H+-transporting ATPase [EC:3.6.3.6],tbr00190,K01535,H+-transporting ATPase [EC:3.6.3.6],Oxidative phosphorylation,3.6.3.6,0000166||0008553||0046872,Q388Z3,,,,,CAMPEP_0171056772-CAMNT_0011511761,87,TIGR01647: ATPase-IIIA_H: plasma-membrane proton-efflux P-type ATPase PF00122.15:  E1-E2 ATPase PF00702.21:  haloacid dehalogenase-like hydrolase,,Gambierdiscus australes,439317,Eukaryota,Dinophyta,43183874,207602,1,1,1,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Gambierdiscus;Gambierdiscus australes,PF00690||PF00122,"Cation transporter/ATPase, N-terminus||E1-E2 ATPase",_GAP_||TIGR01494,"_GAP_||HAD ATPase, P-type, family IC",P-ATPase,,3,4
contig_1120806_1_1010_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414932087,1.024590347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,1010,,,,,,,,,,,,,,CAMPEP_0200827584-CAMNT_0046994537,54,,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,0.9072,10,5,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_1120921_2282_2998_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827692746,0,0,0,0,0,0,1.443286263,0,0.501901175,0,0.785731492,0,0,0,0,0,0,0,0,0,0,3443,717,,,,,,,,,,,,,,CAMPEP_0200826160-CAMNT_0046992559,77,,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,1,4,1,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_1121498_1_586_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614100926,0.631749863,0.961381365,0,0,1.033246118,0,0,0,0,0,0,0,1402,586,,,,,,,,,,,,,,CAMPEP_0186768498-CAMNT_0029649711,42,,,Azadinium spinosum 3D9,632150,Eukaryota,Dinophyta,43183874,207602,0.9507,2,2,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Azadinium;Azadinium spinosum 3D9,,,,,,,NA,4
contig_1121996_47_1971_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186941892,0,0.29265947,0.265337801,0,0,0,0,0,0,0,0,0,4209,1925,,,,,,,,,,,,,,CAMPEP_0191908676-CAMNT_0035991125,42,,,Scrippsiella hangoei SHTV5,268821,Eukaryota,Dinophyta,43183874,207602,0.9562,9,4,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Scrippsiella;Scrippsiella hangoei SHTV5,,,,,,,NA,0
contig_1122643_25_892_-,0,0,0,0,0,0,0,0,0,0,6.538826935,2.530431994,2.937050296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,868,,,,,,,,,,,,,,CAMPEP_0200850394-CAMNT_0047024999,42,PF00754.20: F5/8 type C domain PF00652.17:  Ricin-type beta-trefoil lectin domain,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,1,1,1,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",PF00754||_GAP_,F5/8 type C domain||_GAP_,,,,,NA,0
