orf_id,st1_200m,st1_400m,st1_50m,st1_90m,st1_120m,st1_300m,st3_40m,st3_60m,st3_120m,st3_150m,st3_200m,st3_250m,st3_300m,st3_400m,st3_500m,st3_550m,st3_600m,st3_800m,st5_20m,st5_80m,st5_120m,st5_200m,st5_50m,st5_300m,st5_400m,st5_500m,st5_600m,st6_40m,st6_80m,st6_200m,st8_40m,st8_70m,st8_200m,st9_40m,st9_70m,st9_380m,st12_40m,st12_120m,st12_300m,st12_1900m,orf_length_aa
contig_103400_1_1327_-,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,3,1,1,4,1,0,2,0,1,0,0,0,442.3333333
contig_103685_145_645_-,0,0,2,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,2,1,1,1,0,1,1,1,2,2,0,167
contig_105627_1_696_-,0,0,0,0,0,0,3,2,2,0,1,0,1,0,0,0,0,0,0,3,2,1,0,2,0,0,0,1,2,1,1,2,1,0,2,0,2,2,0,0,232
contig_108689_1_910_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,303.3333333
contig_11029_682_1200_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,173
contig_112078_1_978_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,326
contig_1120806_1_1010_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.6666667
contig_1120921_2282_2998_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,239
contig_1121496_1_752_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250.6666667
contig_1121498_1_586_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,195.3333333
